Title ID	PSN Name	Region	Match Type	Redump Title	Serial
NPUJ00439	Pac-Man World 20th Anniversary	US	exact	Pac-Man World: 20th Anniversary	SLUS-00439
NPUJ00440	Reel Fishing	US	exact	Reel Fishing	SLPS-00427 / SLUS-00440
NPUJ00453	Mega Man 8	US	exact	Mega Man 8	SLUS-00453
NPUJ00461	Xevious 3D/G+	US	exact(other region)	Xevious 3D/G+	SLPS-00750
NPUJ00462	Mass Destruction	US	exact	Mass Destruction	SLUS-00462
NPUJ00469	ONE	US	exact	One	SLUS-00469
NPUJ00518	Nuclear Strike	US	exact	Nuclear Strike | Nuclear Strike (Demo)	SLUS-00518 / SLUS-80518 / SLUS-90006
NPUJ00553	Alundra	US	exact	Alundra	SLUS-00553
NPUJ00561	Mega Man X4	US	exact	Mega Man X4	SLUS-00561
NPUJ00585	Klonoa: Door to Phantomile	US	exact	Klonoa: Door to Phantomile	SLUS-00585
NPUJ00594	Metal Gear Solid	US	exact	Metal Gear Solid | Metal Gear Solid (Disc 1) | Metal Gear Solid (Disc 1) (Rev 1) | Metal Gear Solid (Disc 2)	SLUS-00594 / SLUS-00776 / SLUS-80594 / SLUS-90035
NPUJ00598	Gex: Enter the Gecko	US	exact	Gex: Enter the Gecko (Beta)	SLUS-00598
NPUJ00603	Mega Man Legends	US	exact	Mega Man Legends	SLUS-00603
NPUJ00637	N2O	US	fuzzy:0.88	N2O: Nitrous Oxide	SLES-00809 / SLUS-00637
NPUJ00659	Backstreet Billiards	US	exact	Backstreet Billiards	SLUS-00659
NPUJ00662	Parasite Eve	US	exact	Parasite Eve (Disc 1) | Parasite Eve (Disc 2)	SLUS-00662 / SLUS-00668
NPUJ00664	Xenogears	US	exact	Xenogears (Disc 1) | Xenogears (Disc 2)	SLUS-00664 / SLUS-00669
NPUJ00665	Command & Conquer: Red Alert Retaliation	US	exact	Command & Conquer: Red Alert: Retaliation (Disc 1) (Allies) | Command & Conquer: Red Alert: Retaliation (Disc 2) (Soviet)	SLUS-00665 / SLUS-00667
NPUJ00691	Tomb Raider 3: Adventures of Lara Croft	US	fuzzy:0.95	Tomb Raider III: Adventures of Lara Croft	SLUS-00691
NPUJ00693	Dead In The Water	US	exact	Dead in the Water	SLUS-00693
NPUJ00707	Silent Hill	US	exact	Silent Hill | Silent Hill (Demo 1) | Silent Hill (Demo 2)	SLUS-00707 / SLUS-80707 / SLUS-90050
NPUJ00708	Legacy of Kain: Soul Reaver	US	exact	Legacy of Kain: Soul Reaver	SLUS-00708
NPUJ00710	Oddworld: Abe’s Exoddus	US	exact	Oddworld: Abe's Exoddus (Disc 1) | Oddworld: Abe's Exoddus (Disc 2)	SLUS-00710 / SLUS-00731
NPUJ00717	MotorHead	US	exact	Motorhead	SLUS-00717
NPUJ00732	Destrega	US	exact	Destrega	SLUS-00732
NPUJ00739	Future Cop L.A.P.D.	US	exact	Future Cop: L.A.P.D. | Future Cop: L.A.P.D. (Demo)	SLUS-00739 / SLUS-90034
NPUJ00745	Darkstalkers 3	US	exact	Darkstalkers 3	SLUS-00745
NPUJ00747	Resident Evil: Director’s Cut	US	exact	Resident Evil: Director's Cut	SLUS-00551
NPUJ00748	Resident Evil 2 [Dual Shock Version]	US	exact	Resident Evil 2 | Resident Evil 2 (Demo) | Resident Evil 2 (Disc 1) | Resident Evil 2 (Disc 2)	SLUS-00421 / SLUS-00592 / SLUS-80421 / SLUS-90009
NPUJ00753	R-Types	US	exact	R-Types	SLUS-00753
NPUJ00754	Bust-A-Move 4	US	exact	Bust-A-Move 4	SLUS-00754
NPUJ00797	R4: Ridge Racer Type 4	US	exact	R4: Ridge Racer Type 4	SLUS-00797
NPUJ00806	Gex: Deep Cover Gecko	US	exact(other region)	Gex: Deep Cover Gecko | Gex: Deep Cover Gecko (Demo)	SLED-01954 / SLES-01299 / SLES-01908
NPUJ00807	Centipede	US	exact	Centipede	SLUS-00807
NPUJ00820	Echo Night	US	exact	Echo Night	SLUS-00820
